id,axis,title,year
2969,0.0544267,A Daughter Of Destiny,1928
14594,-0.042198285,The Thin Man Goes Home,1944
19131,0.018018458,Scotland Yard Hunts Dr. Mabuse,1963
19169,0.04148578,Nightmare Alley,1947
19971,0.009523157,The Little Girl Who Lives Down the Lane,1976
20043,-0.013738086,Royal Space Force - The Wings of Honneamise,1987
24008,-0.043066368,Monkey Business,1952
25004,-0.00027812645,Black Ice,2007
27509,-0.004499927,The Penalty,1920
28910,0.045821786,Mark of the Vampire,1935
29297,-0.0057190284,Destination Inner Space,1966
31948,0.012506623,Gray Lady Down,1978
32849,0.0054778233,Abandoned,1949
33546,-0.026526915,The Time of Their Lives,1946
34734,0.013417322,Stir of Echoes: The Homecoming,2007
36778,0.009768929,Spellbinder,1988
38456,0.014856681,Charlie Chan's Murder Cruise,1940
40091,0.026753902,Sex Madness,1938
40252,0.033862695,Witchboard III: The Possession,1997
44169,-0.0016374141,The Falcon in Danger,1943
47062,-0.0045446604,Miraculous Virgin,1967
47286,0.008782476,Cool Air,1999
51565,0.020322312,The Dragon Murder Case,1934
52204,0.03919576,The Brain Eaters,1958
54539,0.025152318,The Inhuman Woman,1924
56429,0.033337712,Up from the Depths,1979
58421,0.009816974,Ignition,2002
60523,-0.010484625,Chicago Calling,1951
64568,0.0024692342,Taste of Fear,1961
67430,0.0076597705,Zoo zéro,1979
69351,0.00062848255,Beauty and the Beast,2005
74707,0.027434945,Mystery House,1938
75506,0.009903006,World Without End,1956
77067,0.018125456,DeadHeads,2011
80342,0.00074411184,Lady Dragon 2,1993
81829,-0.0024600886,Bulldog Drummond,1929
84770,0.025761075,The Large Rope,1953
93394,0.03495325,Elevator,2013
94716,-0.00077970326,A Cottage on Dartmoor,1929
136686,-0.026490362,Doraemon: Nobita and the Green Giant Legend,2008
138999,0.00062063336,Little Corey Gorey,1993
140418,-0.007223062,Bulldog Drummond at Bay,1937
160399,-0.0021546893,Megazone 23 III - Part 1 - The Awakening of Eve,1989
173095,0.051728234,The Brides Wore Blood,1972
201989,0.022282112,Bottles,1936
213215,0.009162065,The Returning,1983
214905,-0.017707568,Below the Deadline,1936
224473,-0.0031811744,The Sweet Sound of Death,1965
249294,0.007893674,Celia: The Sinister Affair of Poor Aunt Nora,1949
267338,-0.02593927,"Love, Honor and Oh-Baby!",1940
280002,0.0061416253,The Remaining,2014
294307,0.0017585307,The Last Hit,1993
299460,0.0494746,The Mother  Tree,1958
324153,0.007690549,The Shadow Laughs,1933
324621,-0.007866491,The Return,1980
325622,0.0023711435,The Hound of the Baskervilles,1921
340758,0.0020429604,Never Mention Murder,1965
361975,-0.0105325915,The Hoop of Bermuda,1988
382290,0.037160397,M・Y・F・A・C・E,2005
440871,0.007937513,Ghost Valley Raiders,1940
444713,0.0005430421,Commando 2 - The Black Money Trail,2017
453424,0.02988461,Dr. Masher,1969
459420,-0.018153101,The Four Just Men,1921
482337,0.0041603763,Benaam,1999
483586,0.04424029,Rites of Blood,2004
510733,0.0157029,The Ghost Breaker,1922
517574,0.0028631836,Doombeach,1989
535249,0.010706268,Our Correspondent,1959
539980,0.013224278,Maigret at the Minister,1987
547231,-0.025317496,Pizza Hunt,2003
548084,0.039592113,The Perfect Murder,1992
630737,-0.006396925,2099: The Soldier Protocol,2019
633786,-0.0050355643,Faulty Father,2019
651517,0.035737358,Riverdead,2007
668985,-0.012477441,Who Killed Eve?,1934
747083,0.009813271,Noite de Lamentações (Night of Wails),2020
752825,0.024445925,The Demon,1970
752851,0.005232554,Case of a Young Lord 7: Red Crane House,1958
781001,0.053451207,That,2012
789473,0.008012033,The Mysterious Mr. Hyde,1964
795813,-0.052106615,I'm Your Man,2021
872243,0.06667634,Darkman,1992
921652,0.034096945,Body of Ashes,2022
929912,0.0061527155,Droga Digitale,2022
938049,0.015180331,Donor,2021
990167,0.005660709,Dead Pigeon on Beethoven Street,1972
1013699,0.026098955,The Shining Pyramid,1979
1068455,0.013984412,All That You Love Will Be Carried Away,2019
1075682,0.028080238,Three Silhouettes in Black,1985
1114351,0.06271477,Actual Record! Real Horror Posted Video 31,2016
1156131,-0.0099985935,두번째 상봉,1967
1225036,-0.011170312,Ha Khel Savlyancha,1976
1487521,-0.026388824,Conserva,2025
1494221,0.044741802,Sticks and Stones: Investigating the Blair Witch,1999
1577810,0.027199395,Pandora's Box,2025
1615804,-0.0060898997,The Big Scoop: Challenge at Twilight,1959
1634691,-0.052497223,Little Signs,2026
1638974,0.026637804,Fools in the Dark,1924
1700685,-5.445257e-05,This is Not an Exit,2025
