id,axis,year,title
2969,0.017597059,1928,A Daughter Of Destiny
14594,-0.0058017503,1944,The Thin Man Goes Home
19131,-0.004001271,1963,Scotland Yard Hunts Dr. Mabuse
19169,0.043942314,1947,Nightmare Alley
19971,-0.00145147,1976,The Little Girl Who Lives Down the Lane
20043,0.02014951,1987,Royal Space Force - The Wings of Honneamise
24008,-0.014279954,1952,Monkey Business
25004,-0.036954373,2007,Black Ice
27509,-0.0044350773,1920,The Penalty
28910,0.009500951,1935,Mark of the Vampire
29297,0.0100917015,1966,Destination Inner Space
31948,0.0131709585,1978,Gray Lady Down
32849,0.00124342,1949,Abandoned
33546,-0.0027588867,1946,The Time of Their Lives
34734,-0.01598173,2007,Stir of Echoes: The Homecoming
36778,-0.016101576,1988,Spellbinder
38456,0.007439376,1940,Charlie Chan's Murder Cruise
40091,0.015318627,1938,Sex Madness
40252,0.007423371,1997,Witchboard III: The Possession
44169,-0.0015477873,1943,The Falcon in Danger
47062,-0.04113067,1967,Miraculous Virgin
47286,0.0076713897,1999,Cool Air
51565,0.0012739301,1934,The Dragon Murder Case
52204,0.016860131,1958,The Brain Eaters
54539,-0.0017691366,1924,The Inhuman Woman
56429,0.009926766,1979,Up from the Depths
58421,-0.032608025,2002,Ignition
60523,0.0031629167,1951,Chicago Calling
64568,0.0050142445,1961,Taste of Fear
67430,0.0114599,1979,Zoo zéro
69351,0.0070763174,2005,Beauty and the Beast
74707,0.025442902,1938,Mystery House
75506,0.03423803,1956,World Without End
77067,-0.010033155,2011,DeadHeads
80342,-0.0021491908,1993,Lady Dragon 2
81829,-0.0036341324,1929,Bulldog Drummond
84770,-0.002279617,1953,The Large Rope
93394,-0.041803725,2013,Elevator
94716,-0.00437136,1929,A Cottage on Dartmoor
136686,0.0072323456,2008,Doraemon: Nobita and the Green Giant Legend
138999,0.011753865,1993,Little Corey Gorey
140418,-0.009952027,1937,Bulldog Drummond at Bay
160399,0.001587309,1989,Megazone 23 III - Part 1 - The Awakening of Eve
173095,-0.004886076,1972,The Brides Wore Blood
201989,0.003602378,1936,Bottles
213215,0.0057785474,1983,The Returning
214905,0.011771124,1936,Below the Deadline
224473,0.017290935,1965,The Sweet Sound of Death
249294,0.004818728,1949,Celia: The Sinister Affair of Poor Aunt Nora
267338,0.018648155,1940,"Love, Honor and Oh-Baby!"
280002,0.0134606995,2014,The Remaining
294307,-0.02210753,1993,The Last Hit
299460,0.020197725,1958,The Mother  Tree
324153,0.027311027,1933,The Shadow Laughs
324621,0.0058605634,1980,The Return
325622,0.019316718,1921,The Hound of the Baskervilles
340758,-0.016464628,1965,Never Mention Murder
361975,0.004676547,1988,The Hoop of Bermuda
382290,-0.0053407624,2005,M・Y・F・A・C・E
440871,0.012146926,1940,Ghost Valley Raiders
444713,-0.0148798805,2017,Commando 2 - The Black Money Trail
453424,-0.006365098,1969,Dr. Masher
459420,-0.009527758,1921,The Four Just Men
482337,-0.011472969,1999,Benaam
483586,-0.008189863,2004,Rites of Blood
510733,0.013473919,1922,The Ghost Breaker
517574,-0.025352033,1989,Doombeach
535249,-0.023617871,1959,Our Correspondent
539980,-0.014288852,1987,Maigret at the Minister
547231,-0.037596125,2003,Pizza Hunt
548084,-0.019679092,1992,The Perfect Murder
630737,-0.0121687725,2019,2099: The Soldier Protocol
633786,-0.03215471,2019,Faulty Father
651517,0.0135896485,2007,Riverdead
668985,0.017304756,1934,Who Killed Eve?
747083,-0.042995628,2020,Noite de Lamentações (Night of Wails)
752825,-0.027771901,1970,The Demon
752851,-0.0037570745,1958,Case of a Young Lord 7: Red Crane House
781001,-0.013700739,2012,That
789473,-0.00018743426,1964,The Mysterious Mr. Hyde
795813,-0.043561645,2021,I'm Your Man
872243,-0.04599081,1992,Darkman
921652,-0.038721085,2022,Body of Ashes
929912,-0.033827223,2022,Droga Digitale
938049,-0.02544947,2021,Donor
990167,-0.015434844,1972,Dead Pigeon on Beethoven Street
1013699,0.02809054,1979,The Shining Pyramid
1068455,0.017095007,2019,All That You Love Will Be Carried Away
1075682,-0.024568144,1985,Three Silhouettes in Black
1114351,-0.0074234754,2016,Actual Record! Real Horror Posted Video 31
1156131,-0.024056282,1967,두번째 상봉
1225036,-0.0131079,1976,Ha Khel Savlyancha
1487521,-0.03417082,2025,Conserva
1494221,-0.033609323,1999,Sticks and Stones: Investigating the Blair Witch
1577810,-0.04518145,2025,Pandora's Box
1615804,0.013417991,1959,The Big Scoop: Challenge at Twilight
1634691,-0.029865723,2026,Little Signs
1638974,0.011578776,1924,Fools in the Dark
1700685,-0.03127955,2025,This is Not an Exit
