id,title,year,n_persons,kpt_bbox_area_frac,limb_asymmetry,mean_kpt_confidence,box,keypoints,error
2969,A Daughter Of Destiny,1928,1,0.4353,0.1094,0.664,"[18.8, 0.0, 491.6, 747.6]","[[166.3, 156.2, 0.986], [196.3, 117.4, 0.983], [129.6, 119.2, 0.984], [224.0, 111.9, 0.829], [85.5, 123.4, 0.863], [247.6, 191.1, 0.748], [104.3, 254.2, 0.896], [458.6, 270.2, 0.931], [199.5, 377.1, 0.858], [355.8, 175.0, 0.873], [268.7, 463.8, 0.537], [321.2, 447.3, 0.418], [188.0, 468.8, 0.379], [465.4, 516.9, 0.453], [291.4, 595.8, 0.168], [330.4, 657.4, 0.191], [291.6, 655.0, 0.196]]",
14594,The Thin Man Goes Home,1944,3,1.1965,0.0394,0.56,"[8.6, 242.1, 193.4, 745.8]","[[118.8, 374.6, 0.949], [138.3, 339.6, 0.999], [88.2, 359.8, 1.018], [189.3, 340.0, 0.957], [70.6, 387.8, 0.901], [273.4, 456.5, 0.712], [92.1, 523.4, 0.879], [356.3, 614.3, 0.359], [119.4, 699.3, 0.577], [207.1, 672.2, 0.212], [127.9, 675.7, 0.419], [295.6, 717.4, 0.544], [162.9, 729.4, 0.603], [247.0, 720.0, 0.074], [124.4, 715.9, 0.178], [222.3, 675.4, 0.05], [142.8, 730.5, 0.091]]",
19131,Scotland Yard Hunts Dr. Mabuse,1963,6,0.2488,0.0974,0.421,"[0.0, 1.4, 498.0, 730.8]","[[307.6, 293.5, 0.902], [347.5, 265.8, 0.947], [282.2, 268.8, 0.924], [414.8, 293.6, 0.789], [261.0, 293.4, 0.552], [448.3, 477.5, 0.513], [272.0, 480.4, 0.4], [426.8, 508.0, 0.18], [178.4, 505.8, 0.458], [395.0, 118.7, 0.282], [95.2, 249.8, 0.639], [396.5, 699.3, 0.052], [212.4, 701.1, 0.05], [403.2, 458.9, 0.126], [402.0, 445.6, 0.14], [215.1, 499.6, 0.124], [215.1, 504.4, 0.083]]",
19169,Nightmare Alley,1947,0,,,,,,
19971,The Little Girl Who Lives Down the Lane,1976,1,0.6423,0.0102,0.755,"[235.2, 72.4, 337.5, 474.1]","[[261.9, 116.4, 0.614], [264.9, 107.8, 0.703], [293.5, 104.4, 0.618], [264.1, 111.5, 0.895], [298.4, 110.6, 0.855], [255.1, 157.0, 0.898], [316.4, 152.9, 0.794], [245.6, 217.3, 0.822], [323.6, 207.7, 0.67], [256.8, 251.4, 0.651], [311.9, 238.3, 0.673], [265.3, 269.2, 0.713], [305.2, 270.7, 0.676], [275.3, 355.7, 0.889], [302.3, 357.6, 0.895], [281.6, 442.9, 0.705], [298.6, 438.6, 0.758]]",
20043,Royal Space Force - The Wings of Honneamise,1987,3,0.6395,0.0613,0.605,"[49.6, 393.7, 462.2, 712.8]","[[248.2, 479.1, 0.984], [266.6, 461.1, 0.977], [229.0, 463.8, 0.949], [295.3, 485.2, 0.943], [207.8, 488.1, 0.936], [355.7, 577.3, 0.659], [170.3, 602.4, 0.799], [440.4, 667.2, 0.364], [123.2, 692.5, 0.438], [423.2, 629.3, 0.326], [114.2, 715.5, 0.494], [349.7, 719.2, 0.498], [212.6, 732.5, 0.236], [359.3, 621.9, 0.828], [138.4, 658.3, 0.478], [423.4, 731.5, 0.188], [97.5, 731.6, 0.185]]",
24008,Monkey Business,1952,6,0.6052,0.0104,0.655,"[0.0, 233.6, 355.4, 747.9]","[[154.4, 343.1, 0.984], [176.3, 321.1, 0.974], [130.3, 321.0, 0.964], [199.4, 326.8, 0.993], [94.4, 327.7, 0.996], [253.2, 440.8, 0.826], [43.9, 457.4, 0.869], [288.4, 569.2, 0.452], [17.8, 610.5, 0.894], [216.5, 619.7, 0.341], [137.7, 641.2, 0.89], [236.2, 720.2, 0.802], [102.0, 729.7, 0.883], [217.9, 737.5, 0.081], [86.0, 756.3, 0.023], [209.6, 729.9, 0.103], [169.5, 733.3, 0.059]]",
25004,Black Ice,2007,3,0.4649,0.0233,0.456,"[33.1, 47.3, 496.6, 661.1]","[[238.6, 257.7, 0.896], [269.6, 225.5, 0.93], [213.1, 220.0, 0.894], [316.4, 231.1, 0.885], [179.1, 225.2, 0.931], [386.8, 379.1, 0.528], [120.2, 360.5, 0.586], [419.2, 600.5, 0.371], [112.5, 586.1, 0.38], [178.3, 524.3, 0.092], [306.5, 543.8, 0.114], [353.7, 649.8, 0.428], [164.3, 651.2, 0.416], [418.4, 412.7, 0.14], [81.7, 398.6, 0.106], [176.8, 591.0, 0.028], [151.3, 599.0, 0.032]]",
27509,The Penalty,1920,2,0.3895,0.0069,0.655,"[8.1, 50.1, 271.1, 494.8]","[[212.3, 133.0, 0.968], [226.7, 120.8, 0.936], [199.3, 115.4, 1.016], [239.0, 117.8, 0.915], [173.9, 107.0, 0.952], [249.5, 177.7, 0.888], [122.1, 159.0, 0.862], [251.7, 274.0, 0.521], [94.5, 252.0, 0.778], [199.4, 389.5, 0.26], [141.1, 271.5, 0.896], [208.4, 336.1, 0.588], [123.2, 331.1, 0.519], [244.9, 412.1, 0.231], [36.6, 432.0, 0.192], [183.8, 401.0, 0.203], [164.7, 396.9, 0.404]]",
28910,Mark of the Vampire,1935,3,0.3906,0.0553,0.495,"[0.0, 153.2, 478.3, 741.4]","[[184.7, 441.0, 0.963], [214.0, 408.3, 0.988], [154.2, 409.5, 0.983], [251.6, 428.4, 0.925], [118.7, 427.9, 0.925], [318.1, 570.1, 0.63], [67.8, 572.9, 0.71], [356.8, 707.4, 0.254], [29.6, 670.6, 0.358], [358.6, 708.0, 0.302], [198.7, 721.6, 0.455], [277.2, 742.2, 0.303], [130.9, 743.6, 0.173], [453.5, 724.0, 0.148], [443.3, 714.8, 0.072], [478.8, 546.7, 0.151], [240.4, 729.5, 0.079]]",
