id,title,year,nima_score,error
2969,A Daughter Of Destiny,1928,4.4067,
14594,The Thin Man Goes Home,1944,5.7444,
19131,Scotland Yard Hunts Dr. Mabuse,1963,5.3532,
19169,Nightmare Alley,1947,4.7725,
19971,The Little Girl Who Lives Down the Lane,1976,5.2544,
20043,Royal Space Force - The Wings of Honneamise,1987,5.274,
24008,Monkey Business,1952,5.0324,
25004,Black Ice,2007,5.9829,
27509,The Penalty,1920,5.8443,
28910,Mark of the Vampire,1935,5.3285,
29297,Destination Inner Space,1966,4.8141,
31948,Gray Lady Down,1978,5.8755,
32849,Abandoned,1949,4.6223,
33546,The Time of Their Lives,1946,4.2001,
34734,Stir of Echoes: The Homecoming,2007,5.0626,
36778,Spellbinder,1988,6.3664,
38456,Charlie Chan's Murder Cruise,1940,4.7795,
40091,Sex Madness,1938,4.8967,
40252,Witchboard III: The Possession,1997,5.4505,
44169,The Falcon in Danger,1943,3.7688,
47062,Miraculous Virgin,1967,5.2583,
47286,Cool Air,1999,5.1301,
51565,The Dragon Murder Case,1934,4.8636,
52204,The Brain Eaters,1958,5.0677,
54539,The Inhuman Woman,1924,5.4452,
56429,Up from the Depths,1979,5.5386,
58421,Ignition,2002,5.1167,
60523,Chicago Calling,1951,5.5598,
64568,Taste of Fear,1961,4.6941,
67430,Zoo zéro,1979,3.7862,
69351,Beauty and the Beast,2005,5.4706,
74707,Mystery House,1938,5.0255,
75506,World Without End,1956,5.7273,
77067,DeadHeads,2011,6.6424,
80342,Lady Dragon 2,1993,5.6484,
81829,Bulldog Drummond,1929,5.1913,
84770,The Large Rope,1953,3.6895,
93394,Elevator,2013,5.0032,
94716,A Cottage on Dartmoor,1929,5.574,
136686,Doraemon: Nobita and the Green Giant Legend,2008,4.7706,
138999,Little Corey Gorey,1993,6.0776,
140418,Bulldog Drummond at Bay,1937,5.5578,
160399,Megazone 23 III - Part 1 - The Awakening of Eve,1989,5.317,
173095,The Brides Wore Blood,1972,4.2046,
201989,Bottles,1936,4.3129,
213215,The Returning,1983,5.7388,
214905,Below the Deadline,1936,4.9894,
224473,The Sweet Sound of Death,1965,5.4648,
249294,Celia: The Sinister Affair of Poor Aunt Nora,1949,5.2028,
267338,"Love, Honor and Oh-Baby!",1940,4.8464,
280002,The Remaining,2014,6.4278,
294307,The Last Hit,1993,4.6963,
299460,The Mother  Tree,1958,4.2059,
324153,The Shadow Laughs,1933,5.3541,
324621,The Return,1980,4.2047,
325622,The Hound of the Baskervilles,1921,4.5251,
340758,Never Mention Murder,1965,5.468,
361975,The Hoop of Bermuda,1988,4.0506,
382290,M・Y・F・A・C・E,2005,3.6856,
440871,Ghost Valley Raiders,1940,5.7511,
444713,Commando 2 - The Black Money Trail,2017,5.1274,
453424,Dr. Masher,1969,4.6326,
459420,The Four Just Men,1921,5.1293,
482337,Benaam,1999,3.7731,
483586,Rites of Blood,2004,4.0893,
510733,The Ghost Breaker,1922,4.3802,
517574,Doombeach,1989,3.8525,
535249,Our Correspondent,1959,4.5955,
539980,Maigret at the Minister,1987,5.0524,
547231,Pizza Hunt,2003,3.7883,
548084,The Perfect Murder,1992,5.7322,
630737,2099: The Soldier Protocol,2019,5.9111,
633786,Faulty Father,2019,6.1516,
651517,Riverdead,2007,4.6523,
668985,Who Killed Eve?,1934,4.1421,
747083,Noite de Lamentações (Night of Wails),2020,4.6016,
752825,The Demon,1970,4.433,
752851,Case of a Young Lord 7: Red Crane House,1958,4.7272,
781001,That,2012,4.8361,
789473,The Mysterious Mr. Hyde,1964,5.0906,
795813,I'm Your Man,2021,5.3568,
872243,Darkman,1992,4.6718,
921652,Body of Ashes,2022,5.7171,
929912,Droga Digitale,2022,4.6025,
938049,Donor,2021,4.8619,
990167,Dead Pigeon on Beethoven Street,1972,4.9661,
1013699,The Shining Pyramid,1979,5.4433,
1068455,All That You Love Will Be Carried Away,2019,5.6005,
1075682,Three Silhouettes in Black,1985,4.5128,
1114351,Actual Record! Real Horror Posted Video 31,2016,4.6183,
1156131,두번째 상봉,1967,4.9212,
1225036,Ha Khel Savlyancha,1976,4.2847,
1487521,Conserva,2025,4.7343,
1494221,Sticks and Stones: Investigating the Blair Witch,1999,5.7431,
1577810,Pandora's Box,2025,4.862,
1615804,The Big Scoop: Challenge at Twilight,1959,5.6308,
1634691,Little Signs,2026,5.4241,
1638974,Fools in the Dark,1924,4.8304,
1700685,This is Not an Exit,2025,4.6187,
