id,title,year,aesthetic_score,error
2969,A Daughter Of Destiny,1928,5.2736,
14594,The Thin Man Goes Home,1944,4.6822,
19131,Scotland Yard Hunts Dr. Mabuse,1963,4.742,
19169,Nightmare Alley,1947,4.8521,
19971,The Little Girl Who Lives Down the Lane,1976,4.346,
20043,Royal Space Force - The Wings of Honneamise,1987,5.3579,
24008,Monkey Business,1952,4.5123,
25004,Black Ice,2007,4.8384,
27509,The Penalty,1920,4.9991,
28910,Mark of the Vampire,1935,5.1441,
29297,Destination Inner Space,1966,4.6749,
31948,Gray Lady Down,1978,4.4066,
32849,Abandoned,1949,4.3234,
33546,The Time of Their Lives,1946,4.4279,
34734,Stir of Echoes: The Homecoming,2007,4.5104,
36778,Spellbinder,1988,5.6533,
38456,Charlie Chan's Murder Cruise,1940,5.2071,
40091,Sex Madness,1938,4.7064,
40252,Witchboard III: The Possession,1997,4.1647,
44169,The Falcon in Danger,1943,4.293,
47062,Miraculous Virgin,1967,4.3825,
47286,Cool Air,1999,5.0845,
51565,The Dragon Murder Case,1934,4.6143,
52204,The Brain Eaters,1958,4.5281,
54539,The Inhuman Woman,1924,5.0732,
56429,Up from the Depths,1979,4.6482,
58421,Ignition,2002,5.194,
60523,Chicago Calling,1951,4.7486,
64568,Taste of Fear,1961,4.6471,
67430,Zoo zéro,1979,4.8736,
69351,Beauty and the Beast,2005,5.2606,
74707,Mystery House,1938,4.9788,
75506,World Without End,1956,4.9183,
77067,DeadHeads,2011,5.0743,
80342,Lady Dragon 2,1993,4.2119,
81829,Bulldog Drummond,1929,4.6368,
84770,The Large Rope,1953,4.1205,
93394,Elevator,2013,4.2704,
94716,A Cottage on Dartmoor,1929,4.7021,
136686,Doraemon: Nobita and the Green Giant Legend,2008,5.0488,
138999,Little Corey Gorey,1993,5.0885,
140418,Bulldog Drummond at Bay,1937,4.0543,
160399,Megazone 23 III - Part 1 - The Awakening of Eve,1989,5.7965,
173095,The Brides Wore Blood,1972,4.8679,
201989,Bottles,1936,3.2602,
213215,The Returning,1983,4.0078,
214905,Below the Deadline,1936,4.5398,
224473,The Sweet Sound of Death,1965,5.1003,
249294,Celia: The Sinister Affair of Poor Aunt Nora,1949,5.3867,
267338,"Love, Honor and Oh-Baby!",1940,4.6569,
280002,The Remaining,2014,5.3368,
294307,The Last Hit,1993,4.2099,
299460,The Mother  Tree,1958,3.8798,
324153,The Shadow Laughs,1933,5.0684,
324621,The Return,1980,4.4563,
325622,The Hound of the Baskervilles,1921,5.0631,
340758,Never Mention Murder,1965,4.5482,
361975,The Hoop of Bermuda,1988,5.0509,
382290,M・Y・F・A・C・E,2005,4.6095,
440871,Ghost Valley Raiders,1940,5.9185,
444713,Commando 2 - The Black Money Trail,2017,4.7587,
453424,Dr. Masher,1969,3.9644,
459420,The Four Just Men,1921,4.2909,
482337,Benaam,1999,3.9734,
483586,Rites of Blood,2004,3.7193,
510733,The Ghost Breaker,1922,3.8979,
517574,Doombeach,1989,3.3977,
535249,Our Correspondent,1959,4.7112,
539980,Maigret at the Minister,1987,4.1739,
547231,Pizza Hunt,2003,4.9456,
548084,The Perfect Murder,1992,4.3594,
630737,2099: The Soldier Protocol,2019,5.1507,
633786,Faulty Father,2019,4.811,
651517,Riverdead,2007,4.1711,
668985,Who Killed Eve?,1934,3.9552,
747083,Noite de Lamentações (Night of Wails),2020,3.8647,
752825,The Demon,1970,4.1623,
752851,Case of a Young Lord 7: Red Crane House,1958,5.0639,
781001,That,2012,3.3949,
789473,The Mysterious Mr. Hyde,1964,4.0947,
795813,I'm Your Man,2021,4.8084,
872243,Darkman,1992,3.5369,
921652,Body of Ashes,2022,5.0817,
929912,Droga Digitale,2022,3.9647,
938049,Donor,2021,4.0643,
990167,Dead Pigeon on Beethoven Street,1972,4.3157,
1013699,The Shining Pyramid,1979,4.9794,
1068455,All That You Love Will Be Carried Away,2019,4.777,
1075682,Three Silhouettes in Black,1985,2.8533,
1114351,Actual Record! Real Horror Posted Video 31,2016,4.066,
1156131,두번째 상봉,1967,4.385,
1225036,Ha Khel Savlyancha,1976,4.8561,
1487521,Conserva,2025,5.0585,
1494221,Sticks and Stones: Investigating the Blair Witch,1999,4.0221,
1577810,Pandora's Box,2025,4.4383,
1615804,The Big Scoop: Challenge at Twilight,1959,5.5781,
1634691,Little Signs,2026,3.9302,
1638974,Fools in the Dark,1924,3.7501,
1700685,This is Not an Exit,2025,3.8012,
