id,title,year,creature_n,creature_top_label,creature_top_score,creature_boxes,weapon_n,weapon_top_label,weapon_top_score,weapon_boxes,error
2969,A Daughter Of Destiny,1928,3,skeleton,0.518,"[{""label"": ""skeleton"", ""score"": 0.518, ""box"": [0.1694, 0.0655, 0.2932, 0.2333]}, {""label"": ""clown"", ""score"": 0.436, ""box"": [0.0727, 0.0018, 0.4531, 0.3036]}, {""label"": ""skeleton"", ""score"": 0.415, ""box"": [0.0752, 0.0021, 0.4469, 0.3009]}]",2,syringe,0.308,"[{""label"": ""syringe"", ""score"": 0.308, ""box"": [0.032, 0.6617, 0.0594, 0.0492]}, {""label"": ""axe"", ""score"": 0.288, ""box"": [0.4339, 0.2126, 0.2177, 0.121]}]",
14594,The Thin Man Goes Home,1944,3,vampire,0.405,"[{""label"": ""vampire"", ""score"": 0.405, ""box"": [0.1099, 0.0412, 0.2766, 0.2845]}, {""label"": ""wolf_dog"", ""score"": 0.383, ""box"": [0.1502, 0.7165, 0.2384, 0.2807]}, {""label"": ""skeleton"", ""score"": 0.329, ""box"": [0.1524, 0.7183, 0.23, 0.1942]}]",2,gun,0.447,"[{""label"": ""gun"", ""score"": 0.447, ""box"": [0.4457, 0.7099, 0.1151, 0.1285]}, {""label"": ""axe"", ""score"": 0.318, ""box"": [0.1866, 0.2857, 0.0717, 0.0427]}]",
19131,Scotland Yard Hunts Dr. Mabuse,1963,3,shark,0.41,"[{""label"": ""shark"", ""score"": 0.41, ""box"": [0.0097, 0.4786, 0.1542, 0.0611]}, {""label"": ""skeleton"", ""score"": 0.38, ""box"": [0.3086, 0.3029, 0.2138, 0.2431]}, {""label"": ""skeleton"", ""score"": 0.364, ""box"": [0.4659, 0.2172, 0.3541, 0.3342]}]",1,gun,0.272,"[{""label"": ""gun"", ""score"": 0.272, ""box"": [0.3175, 0.6486, 0.0763, 0.0369]}]",
19169,Nightmare Alley,1947,3,skeleton,0.456,"[{""label"": ""skeleton"", ""score"": 0.456, ""box"": [0.4403, 0.8588, 0.1153, 0.112]}, {""label"": ""doll"", ""score"": 0.391, ""box"": [0.1718, 0.1803, 0.6597, 0.8089]}, {""label"": ""doll"", ""score"": 0.365, ""box"": [0.1721, 0.1954, 0.6592, 0.7946]}]",3,syringe,0.409,"[{""label"": ""syringe"", ""score"": 0.409, ""box"": [0.3744, 0.5633, 0.1955, 0.0911]}, {""label"": ""rifle"", ""score"": 0.287, ""box"": [0.4582, 0.123, 0.201, 0.5081]}, {""label"": ""syringe"", ""score"": 0.253, ""box"": [0.3751, 0.5637, 0.1947, 0.0897]}]",
19971,The Little Girl Who Lives Down the Lane,1976,3,clown,0.415,"[{""label"": ""clown"", ""score"": 0.415, ""box"": [0.4421, 0.0939, 0.238, 0.5266]}, {""label"": ""vampire"", ""score"": 0.407, ""box"": [0.4423, 0.0936, 0.2384, 0.5274]}, {""label"": ""giant_monster"", ""score"": 0.387, ""box"": [0.2694, 0.5259, 0.2629, 0.1135]}]",3,gun,0.385,"[{""label"": ""gun"", ""score"": 0.385, ""box"": [0.6983, 0.2984, 0.1466, 0.2835]}, {""label"": ""gun"", ""score"": 0.317, ""box"": [0.6453, 0.2962, 0.2043, 0.3266]}, {""label"": ""gun"", ""score"": 0.31, ""box"": [0.6965, 0.2967, 0.1506, 0.2864]}]",
20043,Royal Space Force - The Wings of Honneamise,1987,3,skeleton,0.478,"[{""label"": ""skeleton"", ""score"": 0.478, ""box"": [0.4018, 0.5613, 0.1879, 0.1643]}, {""label"": ""doll"", ""score"": 0.343, ""box"": [0.6388, 0.4954, 0.1424, 0.265]}, {""label"": ""giant_monster"", ""score"": 0.331, ""box"": [0.4795, 0.1865, 0.2233, 0.1629]}]",3,gun,0.37,"[{""label"": ""gun"", ""score"": 0.37, ""box"": [0.0493, 0.667, 0.3804, 0.203]}, {""label"": ""rifle"", ""score"": 0.366, ""box"": [0.2885, 0.7095, 0.4586, 0.1458]}, {""label"": ""sword"", ""score"": 0.288, ""box"": [0.2886, 0.7095, 0.4592, 0.1462]}]",
24008,Monkey Business,1952,3,vampire,0.403,"[{""label"": ""vampire"", ""score"": 0.403, ""box"": [0.0029, 0.3031, 0.4571, 0.6937]}, {""label"": ""clown"", ""score"": 0.35, ""box"": [0.6162, 0.3501, 0.3809, 0.6463]}, {""label"": ""skeleton"", ""score"": 0.344, ""box"": [0.4259, 0.3968, 0.2273, 0.1789]}]",0,,,[],
25004,Black Ice,2007,3,skeleton,0.426,"[{""label"": ""skeleton"", ""score"": 0.426, ""box"": [0.3554, 0.202, 0.2833, 0.3124]}, {""label"": ""doll"", ""score"": 0.398, ""box"": [0.6409, 0.068, 0.3571, 0.7348]}, {""label"": ""doll"", ""score"": 0.374, ""box"": [0.0023, 0.0996, 0.3276, 0.7113]}]",1,sword,0.252,"[{""label"": ""sword"", ""score"": 0.252, ""box"": [0.8242, 0.2919, 0.1675, 0.0498]}]",
27509,The Penalty,1920,3,doll,0.445,"[{""label"": ""doll"", ""score"": 0.445, ""box"": [0.4657, 0.179, 0.5241, 0.495]}, {""label"": ""vampire"", ""score"": 0.365, ""box"": [0.0223, 0.0651, 0.5102, 0.5821]}, {""label"": ""clown"", ""score"": 0.342, ""box"": [0.497, 0.1789, 0.2274, 0.1554]}]",3,sword,0.336,"[{""label"": ""sword"", ""score"": 0.336, ""box"": [0.518, 0.3016, 0.1248, 0.0738]}, {""label"": ""axe"", ""score"": 0.288, ""box"": [0.1482, 0.3137, 0.1453, 0.1228]}, {""label"": ""syringe"", ""score"": 0.261, ""box"": [0.2833, 0.3266, 0.1054, 0.0778]}]",
28910,Mark of the Vampire,1935,3,skeleton,0.449,"[{""label"": ""skeleton"", ""score"": 0.449, ""box"": [0.2411, 0.4342, 0.2558, 0.2463]}, {""label"": ""giant_monster"", ""score"": 0.421, ""box"": [0.1174, 0.3778, 0.5091, 0.3898]}, {""label"": ""spider"", ""score"": 0.416, ""box"": [0.6182, 0.6123, 0.0887, 0.0273]}]",1,gun,0.262,"[{""label"": ""gun"", ""score"": 0.262, ""box"": [0.5233, 0.3319, 0.2181, 0.137]}]",
29297,Destination Inner Space,1966,3,giant_monster,0.438,"[{""label"": ""giant_monster"", ""score"": 0.438, ""box"": [0.0041, 0.0361, 0.5909, 0.5457]}, {""label"": ""doll"", ""score"": 0.324, ""box"": [0.4547, 0.1786, 0.2964, 0.2854]}, {""label"": ""vampire"", ""score"": 0.313, ""box"": [0.8682, 0.8657, 0.0897, 0.1043]}]",3,gun,0.342,"[{""label"": ""gun"", ""score"": 0.342, ""box"": [0.574, 0.3999, 0.2901, 0.1415]}, {""label"": ""gun"", ""score"": 0.268, ""box"": [0.574, 0.3997, 0.2903, 0.1415]}, {""label"": ""syringe"", ""score"": 0.266, ""box"": [0.5967, 0.1776, 0.093, 0.0219]}]",
31948,Gray Lady Down,1978,3,shark,0.378,"[{""label"": ""shark"", ""score"": 0.378, ""box"": [0.2947, 0.2702, 0.2019, 0.1444]}, {""label"": ""skeleton"", ""score"": 0.348, ""box"": [0.5405, 0.7122, 0.0731, 0.0478]}, {""label"": ""spider"", ""score"": 0.346, ""box"": [0.7005, 0.1718, 0.0574, 0.0447]}]",1,sword,0.273,"[{""label"": ""sword"", ""score"": 0.273, ""box"": [0.85, 0.6161, 0.0763, 0.069]}]",
32849,Abandoned,1949,3,doll,0.477,"[{""label"": ""doll"", ""score"": 0.477, ""box"": [0.5086, 0.0014, 0.4874, 0.4783]}, {""label"": ""skeleton"", ""score"": 0.423, ""box"": [0.6493, 0.0429, 0.1354, 0.1205]}, {""label"": ""doll"", ""score"": 0.411, ""box"": [0.5083, 0.0022, 0.4876, 0.4777]}]",0,,,[],
33546,The Time of Their Lives,1946,3,vampire,0.325,"[{""label"": ""vampire"", ""score"": 0.325, ""box"": [0.0024, 0.3583, 0.4375, 0.6388]}, {""label"": ""skeleton"", ""score"": 0.324, ""box"": [0.1876, 0.3577, 0.2474, 0.2208]}, {""label"": ""doll"", ""score"": 0.309, ""box"": [0.0025, 0.3584, 0.4373, 0.6388]}]",0,,,[],
34734,Stir of Echoes: The Homecoming,2007,3,doll,0.473,"[{""label"": ""doll"", ""score"": 0.473, ""box"": [0.8257, 0.5852, 0.1033, 0.1946]}, {""label"": ""skeleton"", ""score"": 0.381, ""box"": [0.0473, 0.2731, 0.7491, 0.6124]}, {""label"": ""doll"", ""score"": 0.285, ""box"": [0.8058, 0.5787, 0.1432, 0.2118]}]",0,,,[],
36778,Spellbinder,1988,3,clown,0.332,"[{""label"": ""clown"", ""score"": 0.332, ""box"": [0.1522, 0.0163, 0.602, 0.4466]}, {""label"": ""skeleton"", ""score"": 0.317, ""box"": [0.3043, 0.0708, 0.3879, 0.3827]}, {""label"": ""doll"", ""score"": 0.302, ""box"": [0.6408, 0.5643, 0.2221, 0.2318]}]",3,arrow,0.349,"[{""label"": ""arrow"", ""score"": 0.349, ""box"": [0.3783, 0.8346, 0.0932, 0.0651]}, {""label"": ""axe"", ""score"": 0.278, ""box"": [0.7416, 0.5121, 0.0355, 0.0601]}, {""label"": ""sword"", ""score"": 0.265, ""box"": [0.7333, 0.4997, 0.0546, 0.0751]}]",
38456,Charlie Chan's Murder Cruise,1940,3,skeleton,0.337,"[{""label"": ""skeleton"", ""score"": 0.337, ""box"": [0.5182, 0.005, 0.4793, 0.5634]}, {""label"": ""vampire"", ""score"": 0.316, ""box"": [0.1248, 0.7857, 0.2582, 0.2107]}, {""label"": ""vampire"", ""score"": 0.301, ""box"": [0.002, 0.6736, 0.2004, 0.3231]}]",2,gun,0.283,"[{""label"": ""gun"", ""score"": 0.283, ""box"": [0.1983, 0.5718, 0.4066, 0.1664]}, {""label"": ""gun"", ""score"": 0.255, ""box"": [0.1982, 0.5514, 0.7985, 0.2327]}]",
40091,Sex Madness,1938,3,clown,0.342,"[{""label"": ""clown"", ""score"": 0.342, ""box"": [0.5878, 0.7139, 0.1767, 0.144]}, {""label"": ""giant_monster"", ""score"": 0.329, ""box"": [0.0046, 0.3182, 0.4069, 0.3023]}, {""label"": ""giant_monster"", ""score"": 0.319, ""box"": [0.0046, 0.3187, 0.4029, 0.3009]}]",1,axe,0.257,"[{""label"": ""axe"", ""score"": 0.257, ""box"": [0.4696, 0.3507, 0.1369, 0.1066]}]",
40252,Witchboard III: The Possession,1997,3,giant_monster,0.494,"[{""label"": ""giant_monster"", ""score"": 0.494, ""box"": [0.376, 0.4546, 0.2235, 0.1755]}, {""label"": ""skeleton"", ""score"": 0.417, ""box"": [0.2658, 0.0026, 0.4548, 0.3847]}, {""label"": ""clown"", ""score"": 0.405, ""box"": [0.2642, 0.0031, 0.4585, 0.3848]}]",0,,,[],
44169,The Falcon in Danger,1943,3,doll,0.521,"[{""label"": ""doll"", ""score"": 0.521, ""box"": [0.0045, 0.6195, 0.3612, 0.3781]}, {""label"": ""vampire"", ""score"": 0.399, ""box"": [0.4714, 0.4928, 0.5255, 0.5061]}, {""label"": ""vampire"", ""score"": 0.333, ""box"": [0.4718, 0.493, 0.525, 0.5058]}]",0,,,[],
47062,Miraculous Virgin,1967,3,skeleton,0.412,"[{""label"": ""skeleton"", ""score"": 0.412, ""box"": [0.0639, 0.2502, 0.7085, 0.6285]}, {""label"": ""bird"", ""score"": 0.388, ""box"": [0.6945, 0.3969, 0.2549, 0.3351]}, {""label"": ""doll"", ""score"": 0.379, ""box"": [0.0066, 0.2407, 0.9862, 0.7535]}]",1,machete,0.396,"[{""label"": ""machete"", ""score"": 0.396, ""box"": [0.3624, 0.2461, 0.1972, 0.1324]}]",
47286,Cool Air,1999,3,giant_monster,0.508,"[{""label"": ""giant_monster"", ""score"": 0.508, ""box"": [0.2471, 0.046, 0.6739, 0.5562]}, {""label"": ""skeleton"", ""score"": 0.338, ""box"": [0.1154, 0.3194, 0.1789, 0.1636]}, {""label"": ""vampire"", ""score"": 0.288, ""box"": [0.0357, 0.3165, 0.4465, 0.4707]}]",2,gun,0.614,"[{""label"": ""gun"", ""score"": 0.614, ""box"": [0.3506, 0.57, 0.4445, 0.192]}, {""label"": ""sword"", ""score"": 0.315, ""box"": [0.3533, 0.6434, 0.116, 0.0448]}]",
51565,The Dragon Murder Case,1934,3,skeleton,0.48,"[{""label"": ""skeleton"", ""score"": 0.48, ""box"": [0.0962, 0.0015, 0.3497, 0.2398]}, {""label"": ""giant_monster"", ""score"": 0.367, ""box"": [0.8071, 0.001, 0.1914, 0.1978]}, {""label"": ""giant_monster"", ""score"": 0.336, ""box"": [0.7129, 0.1681, 0.2844, 0.2216]}]",0,,,[],
52204,The Brain Eaters,1958,3,skeleton,0.37,"[{""label"": ""skeleton"", ""score"": 0.37, ""box"": [0.0115, 0.2816, 0.5832, 0.6249]}, {""label"": ""giant_monster"", ""score"": 0.336, ""box"": [0.006, 0.0207, 0.9896, 0.9039]}, {""label"": ""skeleton"", ""score"": 0.302, ""box"": [0.006, 0.0247, 0.9895, 0.9001]}]",1,rifle,0.378,"[{""label"": ""rifle"", ""score"": 0.378, ""box"": [0.2058, 0.9049, 0.0925, 0.0392]}]",
54539,The Inhuman Woman,1924,3,spider,0.314,"[{""label"": ""spider"", ""score"": 0.314, ""box"": [0.3271, 0.37, 0.0772, 0.0398]}, {""label"": ""spider"", ""score"": 0.302, ""box"": [0.3214, 0.367, 0.0878, 0.0457]}, {""label"": ""doll"", ""score"": 0.3, ""box"": [0.3011, 0.4706, 0.5273, 0.3597]}]",3,rifle,0.359,"[{""label"": ""rifle"", ""score"": 0.359, ""box"": [0.6225, 0.4724, 0.1898, 0.1113]}, {""label"": ""gun"", ""score"": 0.352, ""box"": [0.6248, 0.4723, 0.3133, 0.1344]}, {""label"": ""gun"", ""score"": 0.26, ""box"": [0.6224, 0.4713, 0.3152, 0.1295]}]",
56429,Up from the Depths,1979,3,clown,0.427,"[{""label"": ""clown"", ""score"": 0.427, ""box"": [0.3296, 0.1047, 0.1966, 0.3905]}, {""label"": ""witch"", ""score"": 0.39, ""box"": [0.3289, 0.104, 0.1977, 0.3912]}, {""label"": ""skeleton"", ""score"": 0.381, ""box"": [0.408, 0.113, 0.0545, 0.0493]}]",1,gun,0.265,"[{""label"": ""gun"", ""score"": 0.265, ""box"": [0.4533, 0.0247, 0.0662, 0.0679]}]",
58421,Ignition,2002,3,clown,0.296,"[{""label"": ""clown"", ""score"": 0.296, ""box"": [0.0036, 0.0734, 0.6326, 0.5803]}, {""label"": ""skeleton"", ""score"": 0.286, ""box"": [0.5196, 0.2944, 0.4766, 0.4514]}, {""label"": ""spider"", ""score"": 0.251, ""box"": [0.5002, 0.1339, 0.0609, 0.0366]}]",1,gun,0.324,"[{""label"": ""gun"", ""score"": 0.324, ""box"": [0.0258, 0.1493, 0.7569, 0.845]}]",
60523,Chicago Calling,1951,3,clown,0.384,"[{""label"": ""clown"", ""score"": 0.384, ""box"": [0.06, 0.3685, 0.0937, 0.2079]}, {""label"": ""demon"", ""score"": 0.324, ""box"": [0.0976, 0.0252, 0.859, 0.4848]}, {""label"": ""doll"", ""score"": 0.301, ""box"": [0.027, 0.6374, 0.1454, 0.1546]}]",3,gun,0.412,"[{""label"": ""gun"", ""score"": 0.412, ""box"": [0.7892, 0.2566, 0.1872, 0.142]}, {""label"": ""gun"", ""score"": 0.371, ""box"": [0.4884, 0.2849, 0.2055, 0.2243]}, {""label"": ""gun"", ""score"": 0.264, ""box"": [0.4881, 0.2846, 0.2063, 0.2247]}]",
64568,Taste of Fear,1961,3,skeleton,0.404,"[{""label"": ""skeleton"", ""score"": 0.404, ""box"": [0.2181, 0.3805, 0.3192, 0.2325]}, {""label"": ""giant_monster"", ""score"": 0.398, ""box"": [0.2189, 0.5604, 0.5563, 0.4369]}, {""label"": ""skeleton"", ""score"": 0.326, ""box"": [0.2207, 0.562, 0.5524, 0.4351]}]",1,sword,0.27,"[{""label"": ""sword"", ""score"": 0.27, ""box"": [0.0012, 0.2054, 0.1225, 0.067]}]",
67430,Zoo zéro,1979,3,giant_monster,0.499,"[{""label"": ""giant_monster"", ""score"": 0.499, ""box"": [0.472, 0.6789, 0.4115, 0.2331]}, {""label"": ""skeleton"", ""score"": 0.393, ""box"": [0.1544, 0.699, 0.1753, 0.1578]}, {""label"": ""skeleton"", ""score"": 0.325, ""box"": [0.3055, 0.6505, 0.1554, 0.1643]}]",1,gun,0.42,"[{""label"": ""gun"", ""score"": 0.42, ""box"": [0.0013, 0.4845, 0.1841, 0.0986]}]",
69351,Beauty and the Beast,2005,3,skeleton,0.447,"[{""label"": ""skeleton"", ""score"": 0.447, ""box"": [0.1644, 0.6046, 0.1413, 0.0926]}, {""label"": ""doll"", ""score"": 0.358, ""box"": [0.5527, 0.6815, 0.1751, 0.2984]}, {""label"": ""doll"", ""score"": 0.348, ""box"": [0.5205, 0.6809, 0.2069, 0.2998]}]",3,gun,0.33,"[{""label"": ""gun"", ""score"": 0.33, ""box"": [0.2564, 0.7607, 0.292, 0.1758]}, {""label"": ""rifle"", ""score"": 0.296, ""box"": [0.7316, 0.3937, 0.2655, 0.0928]}, {""label"": ""rifle"", ""score"": 0.278, ""box"": [0.7356, 0.3952, 0.2614, 0.0822]}]",
74707,Mystery House,1938,3,skeleton,0.442,"[{""label"": ""skeleton"", ""score"": 0.442, ""box"": [0.1163, 0.1768, 0.3938, 0.3107]}, {""label"": ""skeleton"", ""score"": 0.425, ""box"": [0.5087, 0.0095, 0.4029, 0.3763]}, {""label"": ""skeleton"", ""score"": 0.271, ""box"": [0.1411, 0.1989, 0.3569, 0.2863]}]",1,syringe,0.331,"[{""label"": ""syringe"", ""score"": 0.331, ""box"": [0.2295, 0.3865, 0.1285, 0.0613]}]",
75506,World Without End,1956,3,doll,0.376,"[{""label"": ""doll"", ""score"": 0.376, ""box"": [0.0342, 0.0778, 0.1893, 0.163]}, {""label"": ""vampire"", ""score"": 0.369, ""box"": [0.5046, 0.1169, 0.4529, 0.5659]}, {""label"": ""doll"", ""score"": 0.33, ""box"": [0.7865, 0.6023, 0.2061, 0.2157]}]",3,gun,0.378,"[{""label"": ""gun"", ""score"": 0.378, ""box"": [0.4868, 0.1888, 0.0879, 0.0357]}, {""label"": ""gun"", ""score"": 0.362, ""box"": [0.2155, 0.1071, 0.1414, 0.2484]}, {""label"": ""gun"", ""score"": 0.355, ""box"": [0.2155, 0.1065, 0.1418, 0.2494]}]",
77067,DeadHeads,2011,3,skeleton,0.357,"[{""label"": ""skeleton"", ""score"": 0.357, ""box"": [0.2923, 0.1, 0.4376, 0.3207]}, {""label"": ""shark"", ""score"": 0.34, ""box"": [0.529, 0.6099, 0.1674, 0.1917]}, {""label"": ""skeleton"", ""score"": 0.324, ""box"": [0.0582, 0.2051, 0.3174, 0.2158]}]",3,gun,0.362,"[{""label"": ""gun"", ""score"": 0.362, ""box"": [0.7914, 0.1171, 0.195, 0.2009]}, {""label"": ""gun"", ""score"": 0.325, ""box"": [0.0946, 0.3975, 0.2675, 0.1785]}, {""label"": ""gun"", ""score"": 0.32, ""box"": [0.342, 0.3265, 0.3403, 0.2502]}]",
